Birth Year,Year,Month,Number of Trips
1935,2014,09,114
1983,2014,09,36674
1931,2014,09,2
1930,2014,09,4
1947,2014,09,1836
1948,2014,09,2388
1956,2014,09,7642
1955,2014,09,6469
1993,2014,09,7941
1970,2014,09,20818
1994,2014,09,5987
1969,2014,09,19254
1985,2014,09,36393
1981,2014,09,31566
1952,2014,09,3890
1963,2014,09,14734
1996,2014,09,2151
1982,2014,09,32035
1953,2014,09,5921
1978,2014,09,25776
1992,2014,09,10562
1973,2014,09,18837
1944,2014,09,887
1957,2014,09,8230
1938,2014,09,235
1979,2014,09,26248
1921,2014,09,7
1968,2014,09,16722
1958,2014,09,9522
1988,2014,09,31801
1932,2014,09,33
1907,2014,09,3
1933,2014,09,26
1943,2014,09,565
1949,2014,09,2268
1997,2014,09,1364
1966,2014,09,14707
1984,2014,09,35694
1926,2014,09,24
1900,2014,09,201
1971,2014,09,18872
1974,2014,09,20439
1951,2014,09,3952
1962,2014,09,13475
1989,2014,09,31065
1991,2014,09,18410
1975,2014,09,20347
1940,2014,09,413
1937,2014,09,34
1967,2014,09,15913
1917,2014,09,6
1901,2014,09,65
1954,2014,09,6708
1899,2014,09,41
1910,2014,09,8
,2014,09,99325
1972,2014,09,18538
1934,2014,09,75
1939,2014,09,145
1945,2014,09,946
1965,2014,09,14790
1922,2014,09,17
1959,2014,09,10416
1982,2014,10,27641
1922,2014,10,6
1978,2014,10,22331
1953,2014,10,5580
1933,2014,10,32
1973,2014,10,16609
1938,2014,10,225
1997,2014,10,1192
1991,2014,10,16116
1996,2014,10,1982
1948,2014,10,2090
1910,2014,10,5
1993,2014,10,8462
1943,2014,10,433
1942,2014,10,823
1969,2014,10,16863
1962,2014,10,11988
1958,2014,10,8816
1907,2014,10,11
1989,2014,10,26906
1945,2014,10,929
1940,2014,10,404
1975,2014,10,17801
1984,2014,10,31096
1971,2014,10,17694
1900,2014,10,173
1998,2014,10,722
1901,2014,10,72
1949,2014,10,2077
1974,2014,10,18381
1951,2014,10,3634
1966,2014,10,13259
1995,2014,10,4738
1976,2014,10,19570
1931,2014,10,3
1987,2014,10,28379
1970,2014,10,19142
1961,2014,10,10259
1960,2014,10,11375
1964,2014,10,13123
1937,2014,10,27
1972,2014,10,16315
1941,2014,10,694
1939,2014,10,88
1934,2014,10,84
1965,2014,10,12895
1917,2014,10,7
1955,2014,10,5847
1930,2014,10,5
1959,2014,10,9036
1994,2014,10,6233
,2014,10,69087
1985,2014,10,30982
1967,2014,10,14579
1988,2014,10,28136
1947,2014,10,1572
1944,2014,10,842
1956,2014,10,7089
1986,2014,10,31881
1926,2014,10,22
1935,2014,10,97
1932,2014,10,26
1954,2014,10,6170
1992,2014,10,9918
1936,2014,10,82
1957,2014,10,7582
1977,2014,10,20916
1946,2014,10,1050
1950,2014,10,2473
1968,2014,10,15114
1980,2014,10,24803
1925,2014,10,3
1983,2014,10,31594
1899,2014,10,38
1981,2014,10,27472
1979,2014,10,22942
1952,2014,10,3734
1990,2014,10,24795
1921,2014,10,1
1963,2014,10,13538
1946,2014,11,787
1988,2014,11,17577
1947,2014,11,1109
1940,2014,11,362
1925,2014,11,2
1927,2014,11,2
1961,2014,11,7196
1981,2014,11,17227
1957,2014,11,5136
1934,2014,11,51
1998,2014,11,614
1942,2014,11,619
1953,2014,11,3928
1932,2014,11,19
1945,2014,11,622
1959,2014,11,6497
1990,2014,11,16543
1997,2014,11,950
1951,2014,11,2619
